,District,Policy,Deficit,Target,Relative Deficit
0,2,Best Hydropower,5.7250000000000005,7.241666666666666,0.7905638665132337
1,2,Best Environment,4.470833333333332,7.241666666666666,0.6173762945914844
2,2,Best Irrigation,0.49166666666666664,7.241666666666666,0.06789413118527042
3,3,Best Hydropower,0.5250000000000002,19.10833333333333,0.02747492368076757
4,3,Best Environment,0.5250000000000002,19.10833333333333,0.02747492368076757
5,3,Best Irrigation,0.5375000000000002,19.10833333333333,0.028129088530309654
6,4,Best Hydropower,23.104166666666668,36.416666666666664,0.6344393592677346
7,4,Best Environment,26.55416666666667,36.416666666666664,0.7291762013729979
8,4,Best Irrigation,0.4291666666666674,36.416666666666664,0.011784897025171647
9,5,Best Hydropower,0.01250000000000003,3.5916666666666663,0.0034802784222737904
10,5,Best Environment,0.7333333333333334,3.5916666666666663,0.20417633410672859
11,5,Best Irrigation,0.0,3.5916666666666663,0.0
12,6,Best Hydropower,64.46666666666667,100.07499999999999,0.6441835290199018
13,6,Best Environment,60.67083333333333,100.07499999999999,0.6062536431010076
14,6,Best Irrigation,0.6916666666666657,100.07499999999999,0.006911483054375876
15,7,Best Hydropower,0.025000000000000005,0.049999999999999996,0.5000000000000001
16,7,Best Environment,0.012500000000000002,0.049999999999999996,0.25000000000000006
17,7,Best Irrigation,0.0,0.049999999999999996,0.0
18,8,Best Hydropower,0.008333333333333333,1.741666666666667,0.00478468899521531
19,8,Best Environment,1.2083333333333335,1.741666666666667,0.69377990430622
20,8,Best Irrigation,0.012500000000000002,1.741666666666667,0.007177033492822967
21,9,Best Hydropower,0.0,31.308333333333337,0.0
22,9,Best Environment,0.05833333333333335,31.308333333333337,0.0018631887143997874
23,9,Best Irrigation,0.04583333333333336,31.308333333333337,0.0014639339898855476
